chat;tipe
Assalamualaikum pak/buk, kapan jadwal perkuliahan semester genap dimulai?;safe
Wa'alaikumsalam perkuliahan genap Insya Allah akan mulai dilaksanakan tanggal 9 februari 2026;safe
Assalamualaikum bpk/ibu, izin bertanya untuk pengisian KRS nanti apa diharuskan bayar UKT terlebih dahulu? 🙏;safe
Assalamu'alaikum wr wb bpk/ibu izin bertanya untuk mata kuliah big data dan juga implementasi dan pengujian perangkat lunak pada semester 6 ini merupakan mata kuliah wajib atau mata kuliah pilihan ya karena di kurikulum yang baru mata kuliah ini tidak ada, terimakasih 🙏;safe
Assalamualaikum pak, izin bertanya apakah ada kelas pengganti untuk mata kuliah basis data minggu ini?;safe
Wa'alaikumsalam, untuk kelas pengganti basis data akan dilaksanakan hari Sabtu jam 10.00 di ruang Lab 3;safe
Assalamualaikum, izin bertanya pak kapan deadline pengumpulan tugas UAS pemrograman web?;safe
Info: Jadwal UTS semester genap 2025/2026 sudah bisa dilihat di SIAK. Silakan cek masing-masing jadwal ujian kalian;safe
Reminder: Besok hari terakhir pengisian KRS semester genap. Bagi yang belum mengisi segera login ke SIAK UIR;safe
Assalamualaikum pak/buk, untuk mata kuliah pilihan semester ini apa saja yang tersedia?;safe
Wa'alaikumsalam, mata kuliah pilihan semester ini: Data Mining, Computer Vision, dan IoT. Silakan pilih sesuai minat;safe
Mahasiswa yang mengambil MK Pemrograman Mobile silakan join grup kelas di https://t.me/+abcDEF123456;safe
Assalamualaikum pak, izin bertanya untuk jadwal bimbingan skripsi minggu ini kapan ya?;safe
Jadwal bimbingan skripsi saya: Senin & Rabu jam 10.00-12.00 di ruang dosen lt.2. Silakan datang sesuai jadwal;safe
Assalamualaikum, izin share tugas kelompok RPL kami. Ini link repositori GitHub nya: https://github.com/mahasiswa-ti-uir/project-rpl;safe
Ada yang sudah submit laporan KP? Saya mau tanya format cover yang benar seperti apa;safe
Terima kasih pak atas penjelasannya, sangat membantu 🙏;safe
Assalamualaikum bpk/ibu dosen, apakah ada perubahan ruangan untuk kelas Jaringan Komputer hari ini?;safe
Info dari Kaprodi: Mahasiswa yang sudah menyelesaikan 120 SKS bisa mendaftar KP semester ini. Silakan hubungi koordinator KP;safe
Assalamualaikum pak, file presentasi tugas kelompok kami sudah di-upload di Google Classroom ya pak;safe
Bagi mahasiswa yang mengikuti seminar proposal hari Jumat, silakan hadir 15 menit sebelum jadwal dimulai;safe
Assalamualaikum, ada yang punya catatan mata kuliah Statistika dan Probabilitas? Boleh share? 🙏;safe
Link Zoom untuk kuliah Algoritma dan Pemrograman hari ini: https://zoom.us/j/1234567890?pwd=abcdef;safe
Assalamualaikum pak, izin bertanya kapan nilai UAS semester lalu keluar di SIAK?;safe
Mahasiswa yang belum mengisi evaluasi dosen silakan isi melalui SIAK sebelum tanggal 20 Februari;safe
https://bit.ly/PendaftaranSeminarTI link form pendaftaran seminar proposal dan kompre. Silahkan di cek syarat2 nya di link tersebut;safe
INFO: Diberitahukan kepada mahasiswa yang telah menyelesaikan Kerja Praktik (KP) ataupun skripsi, DIWAJIBKAN untuk mengisi link berikut: https://bit.ly/SyaratInputNilai;safe
Assalamualaikum mahasiswa sekalian, bagi yang semester ini akan mengambil kelas dengan pengampu M Rizki Fadhilah silahkan masuk ke channel berikut https://t.me/+bCibBNaHRAQ2ZGNl;safe
Silakan download template laporan KP di Google Drive berikut: https://drive.google.com/drive/folders/abc123def456;safe
Assalamualaikum, saya mau tanya untuk wisuda periode Maret 2026 kapan pendaftarannya dibuka ya?;safe
Bagi yang belum dapat dosen pembimbing skripsi silakan ke ruang prodi untuk konsultasi pemilihan topik;safe
Alhamdulillah, pengumuman kelulusan wisuda sudah keluar di website UIR. Selamat bagi yang lulus 🎉;safe
Assalamualaikum pak, saya sudah revisi proposal skripsi sesuai arahan kemarin. Boleh bimbingan hari Rabu?;safe
Ada info lomba hackathon tingkat nasional, deadline pendaftaran 28 Februari 2026. Info lengkap di https://hackathon-nasional.id;safe
Assalamualaikum, untuk mahasiswa angkatan 2022 yang belum foto ijazah silakan ke studio foto kampus minggu depan;safe
Reminder: Pembayaran UKT semester genap paling lambat tanggal 15 Februari 2026. Silakan bayar melalui bank yang telah ditentukan;safe
Assalamualaikum pak/buk, apakah mata kuliah Kecerdasan Buatan semester ini menggunakan Python atau R?;safe
Untuk praktikum Sistem Operasi, silakan install VirtualBox dan Ubuntu sebelum pertemuan minggu depan;safe
Assalamualaikum, ada yang tau ruangan Lab 2 lantai berapa? Saya mahasiswa baru 😅;safe
Wa'alaikumsalam, Lab 2 ada di lantai 3 gedung Fakultas Teknik sebelah kanan;safe
Assalamualaikum pak, tugas pemrograman web sudah saya kirim via email. Mohon konfirmasinya 🙏;safe
Malam pak, izin bertanya apakah besok ada kuliah pengganti untuk mata kuliah Struktur Data?;safe
Assalamualaikum, bagi yang mau ikut sertifikasi BNSP bidang Junior Web Developer silakan daftar ke lab sebelum tanggal 25;safe
Selamat pagi, hari ini kelas Pemrograman Berorientasi Objek dipindah ke ruang 301;safe
Assalamualaikum bpk/ibu, izin bertanya apakah ada kelas tambahan untuk mata kuliah yang belum mencapai 16 pertemuan?;safe
Mahasiswa yang mengikuti PKM silakan kumpulkan proposal ke ruang prodi paling lambat hari Jumat;safe
Assalamualaikum pak/buk, apakah ujian komprehensif periode ini jadwalnya sudah keluar?;safe
Untuk pertemuan mata kuliah Cloud Computing hari ini kita akan bahas tentang deployment di Google Cloud Platform;safe
Assalamualaikum, izin share link playlist YouTube tutorial Laravel untuk teman-teman yang butuh referensi: https://youtube.com/playlist?list=PLxyz123;safe
Bagi mahasiswa yang akan mengikuti MBKM semester depan silakan konsultasi ke dosen PA masing-masing;safe
Assalamualaikum pak, saya dari angkatan 2021 izin bertanya tentang prosedur cuti akademik;safe
Wa'alaikumsalam, untuk cuti akademik silakan datang ke bagian akademik Fakultas dengan membawa surat permohonan dan persetujuan orang tua;safe
Assalamualaikum, ada yang kelompok RPL nya belum dapat anggota? Saya mau gabung 🙏;safe
Info: Pendaftaran asisten laboratorium dibuka sampai tanggal 20 Februari. Syarat IPK minimal 3.25;safe
Assalamualaikum pak, untuk format penulisan daftar pustaka di proposal skripsi menggunakan IEEE atau APA?;safe
Gunakan format IEEE untuk penulisan daftar pustaka. Template sudah tersedia di Google Drive prodi;safe
Assalamualaikum, ada yang tau dimana download Microsoft Office gratis untuk mahasiswa UIR?;safe
