chat;tipe
"Teman-teman besok kuliah Pemrograman Web jam 08.00 pindah ke ruang FTI-203 ya";SAFE
"Reminder deadline proposal TA Jumat jam 23.59 upload di Google Classroom";SAFE
"Link materi Algoritma minggu ini ada di https://drive.google.com/drive/folders/1abcXYZ";SAFE
"Siang semua, rapat panitia seminar jam 13.30 di ruang himpunan";SAFE
"Untuk absensi hari ini silakan isi form resmi kampus di https://sikad.uir.ac.id";SAFE
"Ada yang bisa pinjam charger laptop 65W sampai jam 3 sore";SAFE
"Jadwal asistensi basis data saya geser ke Kamis malam setelah Magrib";SAFE
"Silakan cek nilai kuis di portal akademik, kalau ada salah input kabari saya";SAFE
"Info perpustakaan, pengembalian buku terakhir tanggal 20 Februari";SAFE
"Besok praktikum jaringan bawa kabel LAN masing-masing ya";SAFE
"Notulen rapat BEM sudah saya upload ke folder tim malam ini";SAFE
"Link Zoom kuliah tamu: https://zoom.us/j/1234567890 passcode sudah dikirim di grup kelas";SAFE
"Selamat pagi, siapa yang belum isi presensi bisa DM saya sebelum jam 10";SAFE
"Dokumen surat izin kegiatan sudah ditandatangani pembina";SAFE
"Tolong review slide presentasi saya di folder bersama sebelum sore";SAFE
"Pengumuman dosen: UTS Sistem Operasi tetap offline di gedung F pada Senin";SAFE
"Kegiatan bakti sosial himpunan jadi hari Sabtu, titik kumpul di kampus";SAFE
"Untuk kelompok 3 dan 4, jadwal bimbingan ditukar jadi pukul 14.00";SAFE
"Terima kasih yang sudah hadir diskusi proposal tadi malam";SAFE
"Saya sudah kirim template laporan KP versi terbaru di email kelas";SAFE
"Teman-teman, surat aktif kuliah bisa diunduh dari portal mahasiswa";SAFE
"Siapa yang mau gabung latihan debat internal minggu depan, daftar di chat ini";SAFE
"Ada lowongan magang startup, detailnya di https://bit.ly/magang-dev-2026 coba cek dulu validitasnya";SUSPICIOUS
"Info beasiswa luar negeri dibuka mendadak, pendaftaran via https://scholar-hub.xyz/form";SUSPICIOUS
"Dapat broadcast seminar nasional gratis dengan sertifikat, registrasi di tinyurl.com/semnas-now";SUSPICIOUS
"Katanya ada subsidi UKT tambahan, diminta isi data lewat link ini https://forms.gle/abCDefGh";SUSPICIOUS
"Ada akun baru share promo laptop murah, link tokonya pakai short url bit.ly/laptophebat";SUSPICIOUS
"Teman saya kirim peluang kerja remote, tapi domainnya baru dan belum pernah saya lihat";SUSPICIOUS
"Panitia event minta transfer pendaftaran hari ini juga, kontaknya bukan nomor panitia lama";SUSPICIOUS
"Pengumuman lomba coding internasional ini benar ga ya https://globalcode-challenge.site";SUSPICIOUS
"Ada yang pernah pakai platform ini untuk sertifikasi https://career-boost-now.com";SUSPICIOUS
"Tiba-tiba ada pesan DM minta bantu vote kompetisi pakai login akun kampus";SUSPICIOUS
"Grup dapat link undangan webinar berhadiah saldo, tapi penyelenggara kurang jelas";SUSPICIOUS
"Kak tingkat share link database soal premium gratis 24 jam, saya ragu ini legal";SUSPICIOUS
"Ada info rekrutmen volunteer diminta kirim KTP dan selfie lewat bot Telegram";SUSPICIOUS
"Pesan ini mengatasnamakan fakultas dan minta update data kontak via link baru";SUSPICIOUS
"Dapat file APK materi kuliah dari nomor asing, katanya wajib install untuk akses modul";SUSPICIOUS
"Ada tawaran jadi admin marketplace kampus dengan gaji tinggi tapi proses seleksi sangat singkat";SUSPICIOUS
"Seseorang kirim link verifikasi akun organisasi di domain yang mirip tapi bukan domain resmi";SUSPICIOUS
"Info donasi bencana dari akun anonim, rekening penerima tidak jelas asalnya";SUSPICIOUS
"Katanya bisa buka blokir wifi kampus dengan login ulang di portal mirror";SUSPICIOUS
"Link pengisian survei alumni ini valid ga, tampilannya mirip situs resmi tapi URL beda";SUSPICIOUS
"Ada promo kuota belajar murah, diminta pembayaran melalui e-wallet pribadi";SUSPICIOUS
"Saya dapat pesan lowongan asisten dosen tapi diminta bayar biaya administrasi dulu";SUSPICIOUS
"SELAMAT nomor anda terpilih menerima hadiah 50 juta, klaim sekarang di https://hadiah-cepat.win/claim";PHISHING
"Akun bank anda akan dibekukan hari ini, verifikasi m-banking di http://bank-verifikasi-login.com";PHISHING
"Pemberitahuan resmi kampus palsu, diminta login SSO melalui https://uir-login-security.xyz";PHISHING
"Shopee Loyalty: akun anda berhak voucher 5 juta, isi OTP di https://shopee-bonus-id.top";PHISHING
"BRImo notice: transaksi mencurigakan terdeteksi, konfirmasi PIN dan password di link berikut";PHISHING
"WhatsApp support: nomor anda akan dinonaktifkan, klik tautan untuk aktifkan ulang akun";PHISHING
"Anda menang undian iPhone, bayar pajak admin 150 ribu agar hadiah dikirim";PHISHING
"Dana bantuan pemerintah cair, cek NIK dan PIN ATM di portal khusus penerima";PHISHING
"Tagihan listrik menunggak, hindari pemutusan dengan login PLN di domain ini pln-cek-tagihan.site";PHISHING
"Telegram Security Alert: sesi anda dibajak, masukkan kode verifikasi di bot @secure_recovery_now";PHISHING
"BPJS update data peserta, kirim foto KTP depan belakang dan selfie sekarang juga";PHISHING
"Paket anda tertahan bea cukai, bayar biaya penanganan melalui link pembayaran cepat";PHISHING
"Anda terpilih jadi penerima bansos tambahan 2 juta, registrasi akun dan PIN dompet digital";PHISHING
"Instagram warning: akun akan suspend dalam 2 jam, login di halaman pemulihan ini";PHISHING
"Pajak kendaraan jatuh tempo, klik link ini dan isi data kartu debit untuk validasi";PHISHING
"Kami dari pihak kampus minta reset password email mahasiswa lewat form ini segera";PHISHING
"Kartu SIM anda akan diblokir permanen, verifikasi data biometrik dan OTP sekarang";PHISHING
"Undangan kerja paruh waktu palsu, diminta transfer deposit untuk aktivasi akun";PHISHING
"Pemenang giveaway e-wallet, kirim nomor kartu dan CVV agar saldo bisa masuk";PHISHING
"Akun marketplace anda terdeteksi fraud, login ulang melalui tautan berikut untuk banding";PHISHING
"Sistem anti-hack mendeteksi ancaman, klik link dan instal plugin keamanan palsu";PHISHING
"Surat pemanggilan sidang online palsu, minta pembayaran denda lewat virtual account pribadi";PHISHING
