Nama,Tahun,Judul,Metode,Kesimpulan,Sumber
Muhammad Salman,2024,SpaLLM-Guard: Pairing SMS Spam Detection Using Open-source and Commercial LLMs,"Evaluasi LLM (GPT-4, DeepSeek, Llama-2, Mixtral) menggunakan zero-shot, few-shot, fine-tuning, dan Chain-of-Thought (CoT) prompting.","Fine-tuning adalah strategi paling efektif (Mixtral mencapai akurasi 98,61%). Zero-shot tidak dapat diandalkan, sementara CoT meningkatkan kinerja pada model besar seperti GPT-4. Ini mendukung penggunaan LLM bertahap dalam deteksi phishing.",1
Yinuo Xue,2025,MultiPhishGuard: An LLM-based Multi-Agent System for Phishing Email Detection,"Sistem multi-agen menggunakan lima agen kooperatif (teks, URL, metadata, penyederhana penjelasan, dan agen adversarial) dengan bobot dinamis via PPO (Proximal Policy Optimization).","Mencapai akurasi 97,89% dan mengungguli metode single-agent atau CoT standar. Penggunaan agen spesialis memvalidasi arsitektur multi-agen dalam sistem deteksi phishing modern.",2
Hyeong Kyu Choi,2025,Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,Multi-Agent Debate (MAD) dibandingkan dengan Majority Voting menggunakan kerangka teori proses martingale.,"Menemukan bahwa Majority Voting menyumbang sebagian besar keuntungan kinerja MAD. Perdebatan tanpa bias menuju kebenaran tidak secara otomatis meningkatkan akurasi, memberikan landasan teoritis bagi pengoptimalan strategi MAD3/MAD5.",3
Mehraj Ibne Halim,2025,"Enhancing Phishing Detection: A Machine Learning Approach to Predicting Malicious Emails, URLs, and SMS Messages","Framework machine learning dan deep learning mengevaluasi 9 model termasuk SVM, BiGRU, dan BERT menggunakan dataset heterogen (Email, SMS, URL).",SVM dan BiGRU mencapai akurasi tertinggi (>99%). Menunjukkan keunggulan arsitektur deep learning dalam mengidentifikasi upaya phishing lintas saluran komunikasi.,4
Eder S. Gualberto,2020,From Feature Engineering and Topics Models to Enhanced Prediction Rates in Phishing Detection,"Feature engineering berbasis NLP, lemmatization, dan Topic Modeling menggunakan Latent Dirichlet Allocation (LDA) yang dipadukan dengan XGBoost.","XGBoost dengan fitur yang diekstraksi dari LDA mencapai F1-score 99,95%. Teknik ini sangat efisien dalam mengurangi dimensi data tanpa mengorbankan akurasi deteksi.",5
Apoorva Joshi,2019,Using Lexical Features for Malicious URL Detection - A Machine Learning Approach,Klasifikasi ensemble menggunakan Random Forest dengan fitur leksikal statis dan trigram dari string URL.,"Random Forest memberikan trade-off terbaik antara False Negative Rate (FNR) rendah dan latensi rendah, cocok untuk sistem triage cepat dalam arsitektur deteksi.",6
Priya Pitre,2025,CONSENSAGENT: Towards Efficient and Effective Consensus in Multi-Agent LLM Interactions through Sycophancy Mitigation,"Multi-Agent Debate (MAD) dengan framework CONSENSAGENT yang menggunakan optimasi prompt berbasis trigger untuk mitigasi sycophancy. Menggunakan model Llama3, Mistral, dan GPT-4o.",Mencapai hasil state-of-the-art pada dataset penalaran dengan mengurangi bias kesepakatan (sycophancy) dan meningkatkan akurasi serta efisiensi konsensus. Ini mendasari penggunaan optimasi prompt dalam arsitektur MAD.,7
Justin Chih-Yao Chen,2024,RECONCILE: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,"RECONCILE: Framework multi-model multi-agent (ChatGPT, Bard, Claude2) dengan diskusi beberapa putaran, estimasi kepercayaan (confidence), dan weighted voting.","Membuktikan bahwa keragaman model dan mekanisme voting berbasis confidence meningkatkan penalaran tim. ReConcile mengungguli GPT-4 pada beberapa benchmark, menjadi fondasi bagi penggunaan konsensus agen yang beragam.",8
Yu Cui,2025,FREE-MAD: Consensus-Free Multi-Agent Debate,FREE-MAD: Framework MAD tanpa konsensus dengan mekanisme keputusan berbasis skor yang mengevaluasi seluruh lintasan debat (trajectory) dan teknik anti-conformity.,Meningkatkan akurasi penalaran dengan putaran yang lebih sedikit (mengurangi biaya token) dan meningkatkan ketahanan terhadap serangan komunikasi. Mendukung strategi early termination pada konsensus.,9
Tao Feng,2020,Visualizing and Interpreting RNN Models in URL-based Phishing Detection,"Deep Learning menggunakan empat model RNN (LSTM, GRU, BiLSTM, BiGRU) dengan fitur leksikal URL dan teknik visualisasi RTOD.","Model deep learning mencapai akurasi >99% tanpa ekstraksi fitur manual. Hasil menunjukkan bahwa model RNN dapat menangkap fitur relevan seperti protokol dan karakter khusus, valid sebagai pembanding deteksi berbasis konten chat.",10
